id;buyer_login;buyer_first_name;buyer_last_name;buyer_email;buyer_phone;amount_of_cart_net;amount_of_cart_gross;amount_of_shipment_net;amount_of_shipment_gross;amount_of_order_net;amount_of_order_gross;order_main_status;create_time;update_time
1;Unbranded;copy;analyzing Mazowieckie;grow;indexing parsing redundant;126;34313;32700;68018;74054;23104;Canceled;2021-10-24T20:00:21;2021-10-24T20:44:51
2;Norwegia withdrawal;generation process;holistic Monitored;syndicate Practical;up FTP;31629;45548;4879;76458;74723;44326;PreparationForShipping;2021-10-25T02:36:00;2021-10-24T15:54:23
3;Baby bluetooth;Mouse withdrawal project;Cotton middleware Car;XML Handmade;Pants Brazylia;69328;55630;11893;44451;86633;78977;Canceled;2021-10-24T20:47:39;2021-10-24T12:15:49
4;Keyboard;niches withdrawal;Łódzkie;Customizable navigate;compress;26709;47490;68621;55628;9105;8716;WaitingForBankTransfer;2021-10-24T22:25:00;2021-10-25T03:53:21
5;Pa'anga;virtual Liberia Object-based;Engineer User-centric;utilize directional;Lempira;29816;94502;16651;38517;70787;69001;Delivered;2021-10-25T07:11:04;2021-10-24T13:42:32
6;Engineer enterprise eyeballs;microchip engineer Square;Avon calculating;Lubelskie Fantastic;Cambridgeshire invoice Central;69935;34757;89196;80107;62706;87565;WaitingForBankTransfer;2021-10-25T03:04:57;2021-10-25T10:32:39
7;Małopolskie Tasty;microchip;Car Integrated Plastic;SAS Iranian;Internal;50768;80376;17265;19629;29250;68016;Sent;2021-10-25T09:16:21;2021-10-25T04:54:07
8;reintermediate;Legacy circuit;Open-source Handcrafted;Games Operative SSL;connecting;9684;15355;42752;24770;66460;31837;Sent;2021-10-24T14:45:02;2021-10-24T17:58:41
9;PCI;Practical Lithuanian;Botswana didactic payment;RAM;Operations;143;12754;96044;43256;68791;43726;Canceled;2021-10-24T13:53:14;2021-10-25T00:21:12
10;Car Plastic stable;deposit copy;Fresh Tunezja Regional;Tools Account;Quetzal;56642;67191;85979;19481;99443;3320;PreparationForShipping;2021-10-24T16:00:07;2021-10-24T21:02:36
