id;first_name;last_name;street;postal_code;city;country;phone_to_the_receiver;firm;tax_number
1;Władysław;Kwiatkowski;Dróżdż Throughway;models invoice;Lasotaton;Antigua i Barbuda;Money Credit Cambridgeshire;Multi-lateral;administration hard convergence
2;Abraham;Rzepka;Reginald Groves;Facilitator payment;Port Makary;322 575;Developer New green;Dollar Centralized;Account Usability deposit
3;Paula;Kubik;Wilfryd Dam;Product Ameliorated;North Jeremiaszchester;Wyspy Świętego Tomasza i Książęca;up hack;Reverse-engineered Exclusive;Chips
4;Prokles;Gruszczyński;Roman Road;orange next-generati;Samsonmouth;Gruzja;quantify;Nikaragua;interface Sports
5;Gracja;Buczek;Amanda Inlet;Incredible;Lizatown;Wielka Brytania;Ball Valley Refined;Steel Shoes;Account Renminbi
6;Wirginia;Kaleta;Woźniak Forks;structure;Jędrzejczaktown;Samoa;robust;cross-platform digital;Trace
7;Szymon;Sowa;Lucjan Cape;Fish;Spirydionchester;Serbia;navigating;port;black Plastic Officer
8;Angela;Ossowski;Chojnacki Plains;Keyboard synthesize ;Sowaview;Laos;grey Keys Pre-emptive;front-end Future;Ghana Shoes
9;Izajasz;Piasecki;Henryk Brook;back-end algorithm H;Lucjaland;Namibia;Fantastic hard;Lead;Down-sized hub
10;Ksenofont;Smoliński;Hugo Cape;Corporate Optimizati;North Kazimierz;Gwinea Bissau;Division high-level;back-end;Rustic Boliwia
