id;first_name;last_name;street;postal_code;city;country;phone_to_the_receiver;firm;tax_number
1;Wilhelmina;Dąbrowski;August Drive;SMS;West Aaronberg;Mauritius;reintermediate;Małopolskie user-centric azure;Tuna cohesive
2;Elwira;Sienkiewicz;Cezary Villages;Small sensor;Agatonshire;Indonezja;connect Toys;alliance Opolskie;matrix Shore
3;Antoni;Sołtys;Janiszewski Common;Factors Universal;Kunów;Saint Lucia;Unbranded;protocol;navigate Bedfordshire
4;Kornel;Piórkowski;Borowski Island;calculating;Pogorzela;Zimbabwe;Intelligent Account;Zachodniopomorskie;analyzer Barbados Kwacha
5;Juliusz;Piotrowski;Jozue River;bandwidth;Tuchów;Demokratyczna Republika Konga;tan Cloned;revolutionize;Soft Parkway Wooden
6;Galfryd;Gołąb;Szewczyk Island;Account Functionalit;Kędziorahaven;Niger;Central Cheese CSS;invoice;user-facing
7;Izabela;Kacprzak;Aaron Land;motivating Dolnośląs;Edwinside;Islandia;navigating Berkshire CSS;Fresh drive;Licensed Computers
8;Bertrand;Maślanka;Szczerba Village;Credit;North Julianhaven;Rwanda;Legacy copying Home;Chips Faso;Fundamental Incredible interface
9;Joanna;Kalinowski;Michalik Manors;Wells Wielkopolskie ;New Marekchester;Kazachstan;turn-key;green Principal;vortals rich
10;Serafin;Misiak;Kłosowski Turnpike;wireless Universal;North Irena;Tunezja;Fresh;connecting;infrastructures Unbranded
